"RGN09CD","Year","Sex","Age_Group","Deprivation_Quintile","Ethnic_Group","population_estimates"
"E12000001",2014,"Males","50-64","3","Asian",460.581810991827
"E12000001",2014,"Males","50-64","4","Asian",505.928841477102
"E12000001",2014,"Males","50-64","5","Asian",744.876680024194
"E12000001",2014,"Males","50-64","1","Black",275.920026729579
"E12000001",2014,"Males","50-64","2","Black",105.393525929008
"E12000001",2014,"Males","50-64","3","Black",56.3016162603342
"E12000001",2014,"Males","50-64","4","Black",83.9290698404805
"E12000001",2014,"Males","50-64","5","Black",72.2165924856749
"E12000001",2014,"Males","50-64","1","Mixed",400.491901744107
"E12000001",2014,"Males","50-64","2","Mixed",232.152226459259
"E12000001",2014,"Males","50-64","3","Mixed",112.708085268659
"E12000001",2014,"Males","50-64","4","Mixed",129.435040525462
"E12000001",2014,"Males","50-64","5","Mixed",135.596481060099
"E12000001",2014,"Males","50-64","1","Other",299.457230425337
"E12000001",2014,"Males","50-64","2","Other",168.201462464745
"E12000001",2014,"Males","50-64","3","Other",83.4357189524744
"E12000001",2014,"Males","50-64","4","Other",102.611847888838
"E12000001",2014,"Males","50-64","5","Other",142.434939109599
"E12000001",2014,"Males","50-64","1","White",76351.5798854974
"E12000001",2014,"Males","50-64","2","White",55004.771167494
"E12000001",2014,"Males","50-64","3","White",38697.9727685267
"E12000001",2014,"Males","50-64","4","White",39440.0952002681
"E12000001",2014,"Males","50-64","5","White",37735.8753073204
"E12000001",2014,"Males","65-74","1","Asian",276.057885171808
"E12000001",2014,"Males","65-74","2","Asian",161.848449599983
"E12000001",2014,"Males","65-74","3","Asian",125.655596289781
"E12000001",2014,"Males","65-74","4","Asian",153.897869072455
"E12000001",2014,"Males","65-74","5","Asian",224.276822344415
"E12000001",2014,"Males","65-74","1","Black",29.7420322886882
"E12000001",2014,"Males","65-74","2","Black",17.8100217059144
"E12000001",2014,"Males","65-74","3","Black",15.9409146083253
"E12000001",2014,"Males","65-74","4","Black",11.4766368370041
"E12000001",2014,"Males","65-74","5","Black",19.6455640118326
"E12000001",2014,"Males","65-74","1","Mixed",105.944518415747
"E12000001",2014,"Males","65-74","2","Mixed",50.5844515100878
"E12000001",2014,"Males","65-74","3","Mixed",42.9176556794045
"E12000001",2014,"Males","65-74","4","Mixed",36.2393265572444
"E12000001",2014,"Males","65-74","5","Mixed",37.0381967284922
"E12000001",2014,"Males","65-74","1","Other",51.6316506240823
"E12000001",2014,"Males","65-74","2","Other",21.0449488634055
"E12000001",2014,"Males","65-74","3","Other",22.7896532971381
"E12000001",2014,"Males","65-74","4","Other",17.3725154173069
"E12000001",2014,"Males","65-74","5","Other",26.5640430444089
"E12000001",2014,"Males","65-74","1","White",36120.6239134996
"E12000001",2014,"Males","65-74","2","White",27909.7121283207
"E12000001",2014,"Males","65-74","3","White",20835.6961801254
"E12000001",2014,"Males","65-74","4","White",21686.013652116
"E12000001",2014,"Males","65-74","5","White",20996.4753738707
"E12000001",2014,"Males","75-84","1","Asian",171.665720911796
"E12000001",2014,"Males","75-84","2","Asian",98.3941974784462
"E12000001",2014,"Males","75-84","3","Asian",74.182504790587
"E12000001",2014,"Males","75-84","4","Asian",92.1347632441381
"E12000001",2014,"Males","75-84","5","Asian",132.0434017117
"E12000001",2014,"Males","75-84","1","Black",18.8964805550546
"E12000001",2014,"Males","75-84","2","Black",11.0624737258294
"E12000001",2014,"Males","75-84","3","Black",9.61523166395301
"E12000001",2014,"Males","75-84","4","Black",7.01992409129622
"E12000001",2014,"Males","75-84","5","Black",11.8174472030056
"E12000001",2014,"Males","75-84","1","Mixed",53.9741212044177
"E12000001",2014,"Males","75-84","2","Mixed",25.1942626981731
"E12000001",2014,"Males","75-84","3","Mixed",20.7577039078278
"E12000001",2014,"Males","75-84","4","Mixed",17.7743897897075
"E12000001",2014,"Males","75-84","5","Mixed",17.865114655715
"E12000001",2014,"Males","75-84","1","Other",20.2757269284014
"E12000001",2014,"Males","75-84","2","Other",8.07952479992156
"E12000001",2014,"Males","75-84","3","Other",8.49638875111848
"E12000001",2014,"Males","75-84","4","Other",6.56796186701996
"E12000001",2014,"Males","75-84","5","Other",9.87650946786834
"E12000001",2014,"Males","75-84","1","White",20760.1879504003
"E12000001",2014,"Males","75-84","2","White",15682.2695412976
"E12000001",2014,"Males","75-84","3","White",11368.9481708865
"E12000001",2014,"Males","75-84","4","White",11999.5029610078
"E12000001",2014,"Males","75-84","5","White",11425.3975269617
"E12000001",2014,"Males","85+","1","Asian",22.1421180884824
"E12000001",2014,"Males","85+","2","Asian",13.610366281651
"E12000001",2014,"Males","85+","3","Asian",9.43874783723701
"E12000001",2014,"Males","85+","4","Asian",12.0619891432165
"E12000001",2014,"Males","85+","5","Asian",18.3672935028114
"E12000001",2014,"Males","85+","1","Black",3.40204902433142
"E12000001",2014,"Males","85+","2","Black",2.13587896747438
"E12000001",2014,"Males","85+","3","Black",1.70764151509872
"E12000001",2014,"Males","85+","4","Black",1.28277913342713
"E12000001",2014,"Males","85+","5","Black",2.29443729981983
"E12000001",2014,"Males","85+","1","Mixed",18.96936856298
"E12000001",2014,"Males","85+","2","Mixed",9.49584664658642
"E12000001",2014,"Males","85+","3","Mixed",7.19654287313041
"E12000001",2014,"Males","85+","4","Mixed",6.34047541273925
"E12000001",2014,"Males","85+","5","Mixed",6.7712053270349
"E12000001",2014,"Males","85+","1","Other",5.17164021093992
"E12000001",2014,"Males","85+","2","Other",2.21005169636913
"E12000001",2014,"Males","85+","3","Other",2.13778268315756
"E12000001",2014,"Males","85+","4","Other",1.70036564132693
"E12000001",2014,"Males","85+","5","Other",2.71674098899666
"E12000001",2014,"Males","85+","1","White",5728.31482411324
"E12000001",2014,"Males","85+","2","White",4640.54785640797
"E12000001",2014,"Males","85+","3","White",3094.5192850914
"E12000001",2014,"Males","85+","4","White",3360.61439066931
"E12000001",2014,"Males","85+","5","White",3399.85032288128
"E12000002",2014,"Females","0-24","1","Asian",65474.0185952724
"E12000002",2014,"Females","0-24","2","Asian",23077.7373911895
"E12000002",2014,"Females","0-24","3","Asian",7305.18933620827
"E12000002",2014,"Females","0-24","4","Asian",7108.54215000476
"E12000002",2014,"Females","0-24","5","Asian",4427.11307827066
"E12000002",2014,"Females","0-24","1","Black",15524.7289332115
"E12000002",2014,"Females","0-24","2","Black",3538.87632285483
"E12000002",2014,"Females","0-24","3","Black",1033.2135176779
"E12000002",2014,"Females","0-24","4","Black",721.616911527971
"E12000002",2014,"Females","0-24","5","Black",459.727691864126
"E12000002",2014,"Females","0-24","1","Mixed",17345.3209246654
"E12000002",2014,"Females","0-24","2","Mixed",7822.72946399803
"E12000002",2014,"Females","0-24","3","Mixed",4175.45617185295
"E12000002",2014,"Females","0-24","4","Mixed",4299.13864390983
"E12000002",2014,"Females","0-24","5","Mixed",3418.86880131859
"E12000002",2014,"Females","0-24","1","Other",4683.17647133439
"E12000002",2014,"Females","0-24","2","Other",1971.99652689551
"E12000002",2014,"Females","0-24","3","Other",896.454321558023
"E12000002",2014,"Females","0-24","4","Other",732.727934409426
"E12000002",2014,"Females","0-24","5","Other",528.388163089945
"E12000002",2014,"Females","0-24","1","White",315984.755076684
"E12000002",2014,"Females","0-24","2","White",178295.660295086
"E12000002",2014,"Females","0-24","3","White",131468.686652356
"E12000002",2014,"Females","0-24","4","White",142966.974359724
"E12000002",2014,"Females","0-24","5","White",122313.902265036
"E12000002",2014,"Females","25-49","1","Asian",55761.3508854883
"E12000002",2014,"Females","25-49","2","Asian",19305.8612411266
"E12000002",2014,"Females","25-49","3","Asian",7982.27808672941
"E12000002",2014,"Females","25-49","4","Asian",8095.35890176204
"E12000002",2014,"Females","25-49","5","Asian",6053.07705973338
"E12000002",2014,"Females","25-49","1","Black",15296.3814112155
"E12000002",2014,"Females","25-49","2","Black",3610.33560648733
"E12000002",2014,"Females","25-49","3","Black",1369.98238443666
"E12000002",2014,"Females","25-49","4","Black",967.891648701502
"E12000002",2014,"Females","25-49","5","Black",756.35513608627
"E12000002",2014,"Females","25-49","1","Mixed",8975.2998114211
"E12000002",2014,"Females","25-49","2","Mixed",3650.08536384957
"E12000002",2014,"Females","25-49","3","Mixed",2143.39383362688
"E12000002",2014,"Females","25-49","4","Mixed",1856.28276275642
"E12000002",2014,"Females","25-49","5","Mixed",1370.73842024692
"E12000002",2014,"Females","25-49","1","Other",4460.03225369967
"E12000002",2014,"Females","25-49","2","Other",1893.36216283518
"E12000002",2014,"Females","25-49","3","Other",918.85347203197
"E12000002",2014,"Females","25-49","4","Other",803.086001276622
"E12000002",2014,"Females","25-49","5","Other",578.147819640783
"E12000002",2014,"Females","25-49","1","White",347764.935638336
"E12000002",2014,"Females","25-49","2","White",204378.355625698
"E12000002",2014,"Females","25-49","3","White",161909.492223128
"E12000002",2014,"Females","25-49","4","White",175539.380685445
"E12000002",2014,"Females","25-49","5","White",145180.681564241
"E12000002",2014,"Females","50-64","1","Asian",13227.2008016919
"E12000002",2014,"Females","50-64","2","Asian",4704.86627028594
"E12000002",2014,"Females","50-64","3","Asian",2050.35519758632
"E12000002",2014,"Females","50-64","4","Asian",2461.25038107117
"E12000002",2014,"Females","50-64","5","Asian",2006.71270943725
"E12000002",2014,"Females","50-64","1","Black",3463.66145953528
"E12000002",2014,"Females","50-64","2","Black",1127.52354050239
"E12000002",2014,"Females","50-64","3","Black",477.96828002085
"E12000002",2014,"Females","50-64","4","Black",358.282385876883
"E12000002",2014,"Females","50-64","5","Black",302.788141435192
"E12000002",2014,"Females","50-64","1","Mixed",1996.32455930858
"E12000002",2014,"Females","50-64","2","Mixed",786.329160799504
"E12000002",2014,"Females","50-64","3","Mixed",574.377202849415
"E12000002",2014,"Females","50-64","4","Mixed",507.12545612888
